"dailyTxns","dailyVolumeETH","dailyVolumeToken","dailyVolumeUSD","date","priceUSD","totalLiquidityETH","totalLiquidityToken","totalLiquidityUSD"
"38","32148.5481505468840069212355549345","32187.150350894950085318","742194.5125411875646136716308901077",1631145600,"23.12046461678221410020172595729186","14921.78481701737255717270953671037","2239371.098117788016330121","51775300.23787704968028134928118252"
"283","816893.5638945574509759230962028662","817646.857458065565053761","18384280.45652124615724177840464385",1631059200,"23.25219248818048841223911144804588","14900.54367202593635290233890111057","2243472.295969531314796732","52165649.66778376946739930967408123"
"354","1078652.07293502713609260993747252","1079846.518900122516464725","27173027.08877110231209919470323437",1630972800,"24.40203070298690871028181770905063","15308.2506485208837744941178584538","2161287.257164009861144414","52739798.00729053130059300753770221"
"288","428348.1968474698193443291483353158","428773.433257168225979649","12605085.31750290088782161245371872",1630886400,"28.93301950339164793208249104922499","15607.71652859526321932449467574658","2120396.142760180680237704","61349462.95339672863762901174589146"
"194","116351.9697915851722985762220605065","116631.145299887077920041","3391344.29923854105971469335733049",1630800000,"29.22105848719464876112579911937331","15645.10165113541582281647854448844","2115872.998636800833327326","61828048.64464188047911231479246098"
"205","100728.2985862951328676916222397887","100975.162418014003894644","2913147.348377153314250053669164999",1630713600,"28.61114037435042914906162003731436","15623.96871799588033670672943911931","2121405.071036502907034131","60695818.27828422852507092137138915"
"286","346778.6571622039432103975280826914","348662.806132923539631669","10319726.67899011838469081633681177",1630627200,"28.56687318232991547932032394658725","15567.50246280875587131716437404052","2132013.604068886649779852","60904962.25043802840629771840262093"
"217","104841.3137067586933082365289246124","105206.721861869436796698","3191434.831857355843151303894719577",1630540800,"30.13401597855054634491864235855032","16271.77374250460568555547018730289","2048870.119261885687849289","61740684.91181242683943264920465301"
"314","281894.8569611987786813711582598545","282874.310280253691371781","8508608.833943994183171107989296557",1630454400,"31.32622261515323738972435762208268","16535.47982047814182402666081607081","2018145.407838981896242682","63220872.31571316829103453312349125"
"315","216609.192963605924522412805342565","217507.459922563842853792","6164808.542252798005140338508039111",1630368000,"29.40552339460058762214175144788467","16963.51856786119701515204593700195","1978287.786846210013472416","58172587.79735884918921421717152189"
"239","121816.306962608092552852683833637","122579.776492624305255814","3308406.379496138123902326499074384",1630281600,"26.71421222787132315545694114741676","16734.56271310618822515865495989248","2019492.461983953728527827","53949150.22202569991683768007803403"
"279","60298.14090244634503366795262077986","60558.079229686065318512","1626574.842207365106092167112949735",1630195200,"26.9069139709429230372504484244907","16752.46721930952997786569200549788","2018517.108221840863752426","54312066.17980155807844354804733303"
"344","50978.54681984216777474825423620522","51755.474590958638345415","1396456.107809993108882412473195487",1630108800,"26.81386041747168371295466429904383","16735.46854285441764282439088916672","2022196.431827206614132024","54222892.85972401153564320164315802"
"222","102649.3865038525433995020522827504","103041.647417065847583925","2687360.976899713617608717844807525",1630022400,"27.33228828887107346796051444423061","16819.68856517527171827212592417892","2012994.943667381969560276","55019758.12435667046080203105144133"
"238","130268.9544935644582753452027908177","130821.593421603638737186","3405768.547738987812859294320234491",1629936000,"25.67429213069797322630984472603327","16746.52855349705026884531111353726","2023631.93030321323858195","51955317.34361293707229372382838943"
"198","96749.6452270309289840839174548448","96983.290740564903801984","2584919.634661476674071104003911276",1629849600,"27.00140202042785658373498746250367","17058.93318447276288999511535579161","2034191.013499547424616543","54926009.34184286911782725001001956"
"200","117652.4370980528993345079676644008","117917.400667491401939936","3336359.427245275295762426310782002",1629763200,"26.72555863305973909052442594282241","17096.66601133111963260512376619729","2031455.485117700634714614","54291782.67796392452232851961585755"
"235","74672.14934389207791308843463476005","75077.41177227952579276","2182290.111825669988409074184562249",1629676800,"28.77910607591646628537524714182792","17349.47427489821252439913485555023","2004000.919404411877443765","57673355.03577369452243915416553015"
"338","92418.73977344210475330358344565761","92830.966165731260308358","2635027.869667715338784128716433185",1629590400,"28.39228643805328383354277894010281","18098.96534217626274579269457448962","2067461.54716719243516538","58699960.44683173737241756575318538"
"283","115109.9476495163868066301260106024","115712.088304304836661001","3363856.409709464310574955217418752",1629504000,"28.40550730335834351883321264173103","18115.60816730796126031726268957809","2064809.618268286912683647","58651964.6917643772558655786640074"
"278","91172.01619297313106912933750714592","91979.386776147548328724","2590000.334167755325159495971171238",1629417600,"28.72073582501560822863084762351483","18272.75851357802046041300390323403","2084104.694556184099994177","59857020.36402300833856139742925057"
"367","347435.8190506916324201412052393874","348208.739745116365839437","8943355.852302484694802936324915932",1629331200,"27.88265763932719070068797757975836","18565.03945039900603563223449245811","2109035.556812402399559071","58805516.37976800707761697013768688"
"323","553087.513517180881817621269357396","553609.164313557804004938","14408788.20501076903933598658411719",1629244800,"26.4035842464801215590619942964669","18508.44085754929296789387937853601","2119135.418412030516690753","55952770.54974194988831868167008894"
"346","828324.2668195326064473144794869697","829105.341829406668101276","22365257.61917317535159609952988414",1629158400,"26.28445826636831205110012296320985","18491.95890036569751070407802143028","2119180.644556025480043281","55701515.21072835159887834569288365"
"246","158965.2232753993747342157978834462","159402.853585751655544021","4819834.358915602628530062840911428",1629072000,"29.08629183911058833291368290403896","19018.03491010005490297462661367334","2060534.399615327563308052","59933304.8917379379081235043015602"
"175","74076.11273922618801129797363832134","74709.165438039224478733","2190545.154759887647963108301234927",1628985600,"30.15481058968753448591453902015875","18910.08743962348922276891105266398","2073536.166002802147270822","62527090.33668138761611206151273484"
"236","125229.2575979654039470240321211803","125436.858484445314703863","3724500.361971730315262677457593646",1628899200,"30.1752444651400379980260509125437","19033.05384002466964817124340137039","2061758.1243520534359965","62214055.43031180663608582567532223"
"280","171648.0941183395945320464387522196","173045.328120006410216053","5115731.621040264033497326560855405",1628812800,"30.47702703317777002685236609385817","19019.7563255534901654675622641343","2069932.931255515716605347","63085401.90273925515810941740009244"
"213","92800.9595918663995969533607270927","93255.649931662181892548","2646398.556567415465041879391965184",1628726400,"27.96435133470567193117095315024633","19058.17897662535256116755629286021","2072768.783623537352333902","57963634.50085911886294786954089005"
"237","115215.6329162486727440656327487723","115526.384031216450770585","3432994.31357979006723241957929701",1628640000,"28.988530712506079694148526771851","19002.40323971166245438233946918615","2079174.077568120645117897","60272201.60422996337437862981944648"
"348","208886.3894818071057981457525047325","209844.491200074758405016","6117612.787644667897979560805844476",1628553600,"28.85095490094475142143261115461711","19054.1441197320050429337295947738","2074686.799313588608217963","59856695.28058175919552920719681195"
"229","161894.7720987185648408704050628007","162671.858318742360843263","4416220.076067353906720197147049756",1628467200,"28.33979283686368373226025452591791","18890.20453628966961001837153846958","2101308.214854674344912637","59550639.49538131450270296104759174"
"253","97068.86216978880986232790101929293","97601.284408270381094502","2677077.415428662971997093372018674",1628380800,"26.63725942979000560490681530587443","19237.55479205843377181215362434157","2176368.328888340253653029","57972487.79137725768794286642716142"
"258","151594.819152954791108396983893215","152468.122803978634733331","4207485.689262361606274579536387659",1628294400,"28.1279484376477529470566048674083","19387.6733001863183038327500390859","2165706.180618817351652074","60916871.77954114578014497697049498"
"267","126114.0780612407664793210327508708","126663.254656993055862047","3260020.157294959535145342218122543",1628208000,"26.16590042840757874833360057814611","19562.55610088726842552210914580479","2157239.675782838951443063","56446118.55674401200153026519208663"
"282","129840.8322138367054366038848590368","131277.473384659516502713","3159477.432877492096083633044302116",1628121600,"25.35453684828644451342384250075388","19463.82095815166983480548133627903","2168685.835607509551035056","54986024.93126747953618003625214597"
"369","147146.3649825888885205579105317736","148222.212723170663946764","3306659.024192301294295540195589308",1628035200,"23.48874674642088973687376078589148","19296.06294065370539286601031512585","2238775.091220074720846646","52586021.13986366072822666164781006"
"625","157479.4324531216316784264506730008","158792.810022648361159678","3412549.661755445611511521290582637",1627948800,"21.40231888198784676622797041076281","19649.00154471681776245269606663772","2309153.319590787039859279","49421235.69328281829631268857624791"
"257","107646.0322872572909261069054685979","109902.448611224620253343","2442855.031127217047065536712424018",1627862400,"22.52893963845286961428534391016865","19729.82466534569106739472974070649","2294144.917465756754538812","51684652.36744947437888307747711916"
"349","166925.3123718040339207914881920499","167818.783172451882658232","3751850.339444116023620350905896771",1627776000,"22.03503181334242391666588095616678","19745.16471136938902132779505611313","2298647.873740074332863001","50650779.02553445722558275406889762"
"373","121241.4789167594638845532082348927","122055.585789686618985843","2588546.396572926805950914857317274",1627689600,"21.96060675064119911156104740797904","19578.25981530961900022468052768466","2272770.550732103352402428","49911420.29906594478037792614832888"
"339","170924.7703266824977696152889729305","171859.94312682968589513","3483726.014438165877974763085859841",1627603200,"21.05977989920280698987554735072356","19606.98040026340688337973929066038","2300161.807120636796118237","48440901.3905131907592994444847614"
"312","157021.655119662290944947726411615","157550.519416061324725093","3027176.970978898329563343849862558",1627516800,"19.69754977578902113240416446928322","19145.58305655433849293080492444215","2325931.31472060658080748","45815147.84677554730348305705583564"
"252","115803.1038880072129247507532719367","116518.379066441518557209","2217343.332659702164621352560377789",1627430400,"18.96650551457881546953720711710239","19216.46476221040382676967313193482","2327521.048252124824674458","44144940.79697219073780617704492854"
"299","150394.9883115418421400256299079901","151265.049154361763397677","2788100.140321634989806216136186921",1627344000,"18.70103939301342111182045195684658","19182.09893298445666167360652741067","2340390.669367798498263957","43767738.10288824876659762959699722"
"364","223790.0170713687001133558218065482","228072.919580652176509794","4419865.098152476221824115357438124",1627257600,"18.65242052003845487017837146348257","19342.39562804256868504464367622623","2321977.276523530644156678","43310496.59969050858464267973008139"
"352","109760.7859183981769315215245245931","110680.971596769419328139","1980659.595869176270543754673218677",1627171200,"18.21166606532141674271561905347888","19366.63436077233432842796319030945","2329319.91320825872749925","42420796.41865227316458420053717673"
"443","116348.7873774055715637046272760498","117541.408819658513058881","2171575.279443800664603471441625171",1627084800,"18.27271650913315350249622422168393","19440.48276501348024367498618367524","2321624.36067454521959185","42422383.78330346522520740075651586"
"369","151930.494190738508906233100505784","153089.510242338850250719","2707533.475827533591186029263590915",1626998400,"18.5882489515165958540268770751572","19923.92617528148832648483902194969","2273585.403277895100455805","42261971.48866377035564504285761314"
"308","139385.8990851735570056187144001576","140596.557781797426570814","2380326.308404587283859686331956804",1626912000,"17.50982630764969658804577360233424","20007.91387469810420275022921810184","2309442.933454924743272274","40437944.63222472886260617172886247"
"512","217983.5045445011030826237109571771","221604.778485969652985176","3414834.8994331740196233230316837",1626825600,"16.63661699317608128897193084000281","19676.72988875563721291414657483523","2352003.683688557316220811","39129384.45206579340698422950192042"
